Date,Mean maximum (ºC),Mean(ºC),Mean minimum(ºC),Mean relative humidity (%),Insolation duration (hour),Total rainfall (mm)
2000/2/20,22.5,18.4,13.5,97,0,1.6
2000/2/21,14.2,13.4,12.3,97,0,5.4
2000/2/22,14.9,14.2,13.2,98,0,7.4
2000/2/23,15.2,13.7,12.2,98,0,5.4
2000/2/24,12.8,11.5,10.5,96,0,2.2
2000/2/25,11.4,10.6,9.7,88,0,2.6
2000/2/26,11.9,10.6,8.4,68,0.2,0.4
2000/2/27,11.6,10.5,9.1,71,0,0.6
2000/2/28,11.3,9.7,8.4,95,0,5
2000/2/29,11.6,10.4,9.4,87,0,8
2000/3/1,12.2,10.6,9.1,96,0,13.4
2000/3/2,14.4,12.7,11,96,0,21.2
2000/3/3,20.5,16.4,13.3,88,2.1,0
2000/3/4,24.5,19.5,16.2,82,8.8,0
2000/3/5,26.3,21,17.4,79,10.1,0
2000/3/6,20,17.8,16.2,88,1.4,0.01
2000/3/7,20.1,17.6,16.3,79,6.7,0
2000/3/8,19.2,16.8,15,79,4.2,0
2000/3/9,19.2,16.6,14.3,76,5.7,0
2000/3/10,19.5,16.9,15,82,3.5,0
2000/3/11,19.4,17.7,16.1,91,0,17.2
2000/3/12,17.8,16.3,14.5,94,0,6
2000/3/13,17.5,16.3,14.8,93,0,0.01
2000/3/14,20.9,18,16.3,89,1,0.01
2000/3/15,21.6,19,17,92,1.1,0
2000/3/16,21,18.7,16.2,90,0,0.01
2000/3/17,18,16.7,16,77,0,0.01
2000/3/18,20.1,17.6,15.5,85,0,0.01
2000/3/19,24.1,20.1,17.7,84,0.6,0
2000/3/20,21.9,19,17.6,78,5.1,0
2000/3/21,22.6,19.9,17.6,80,1.5,0.01
2000/3/22,26.2,21.7,18.9,85,6.3,0
2000/3/23,23.6,20.9,18.6,86,5.6,0
2000/3/24,23.1,19.4,16.9,74,7.4,0
2000/3/25,23.4,19.6,17.2,65,7.3,0
2000/3/26,22.3,19.8,17.8,66,2.2,0
2000/3/27,24.4,20.2,16.7,75,9.4,0
2000/3/28,29.1,22.7,17.4,71,9.2,0
2000/3/29,27.3,22.2,19,68,9.9,0
2000/3/30,25.1,21,18.1,76,8.2,0
2000/3/31,25.1,22,19.3,89,0.6,0.01
2000/4/1,27.2,24.1,19.6,93,4.6,64.2
2000/4/2,24.4,21.9,20.3,94,1.8,22
2000/4/3,23.9,21.9,20.2,97,0,129
2000/4/4,24.5,21.3,19,87,2,0.01
2000/4/5,23.1,20.9,19.7,84,1.1,1.2
2000/4/6,20.8,19.7,18.7,79,0.1,0.01
2000/4/7,21.6,19.9,17.8,85,0,0.2
2000/4/8,23.2,21.1,19.6,86,0.8,0.01
2000/4/9,25,21.6,19.7,88,1.1,0
2000/4/10,25,22.3,20.8,91,0.1,0.01
2000/4/11,21.8,20.9,20,82,0.2,0
2000/4/12,23.5,21.2,20,90,0,4.6
2000/4/13,23.2,22.1,20.8,97,0,42
2000/4/14,26,24,21.8,95,0.7,198.8
2000/4/15,24.5,21.1,19,75,3.1,6.6
2000/4/16,24.9,20.4,17,64,9.8,0
2000/4/17,24.3,21.3,19.1,77,6.9,0
2000/4/18,25.5,22.8,21,85,4.3,0
2000/4/19,28.5,24.6,22,89,7.3,0
2000/4/20,29,25.4,23.5,90,9,0
2000/4/21,25.6,24.4,23,94,0,72.4
